nm	%
1280	0.0049
1281	0.0052
1282	0.0036
1283	0.0073
1284	0.0055
1285	0.0049
1286	0.0058
1287	0.0054
1288	0.0045
1289	0.0032
1290	0.0048
1291	0.0043
1292	0.0056
1293	0.0056
1294	0.0063
1295	0.0062
1296	0.0031
1297	0.0058
1298	0.0051
1299	0.0061
1300	0.006
1301	0.0051
1302	0.0053
1303	0.0036
1304	0.0052
1305	0.0043
1306	0.0043
1307	0.0057
1308	0.0044
1309	0.0057
1310	0.0052
1311	0.0058
1312	0.0059
1313	0.0057
1314	0.0065
1315	0.0042
1316	0.0038
1317	0.0051
1318	0.0077
1319	0.0052
1320	0.0043
1321	0.004
1322	0.0064
1323	0.0049
1324	0.0038
1325	0.0047
1326	0.0058
1327	0.003
1328	0.1128
1329	0.2154
1330	0.2198
1331	0.2269
1332	0.3639
1333	0.4
1334	0.4911
1335	0.5423
1336	0.6592
1337	0.8097
1338	0.7785
1339	0.7332
1340	0.9081
1341	1.0276
1342	1.1379
1343	1.4352
1344	2.1958
1345	2.2918
1346	2.6044
1347	3.4386
1348	4.6253
1349	6.2844
1350	7.5447
1351	8.9332
1352	10.7653
1353	13.3914
1354	17.3707
1355	22.7541
1356	29.0845
1357	35.7653
1358	43.7295
1359	51.6889
1360	60.7595
1361	69.1788
1362	77.1975
1363	83.4743
1364	89.5565
1365	93.5022
1366	96.3669
1367	98.1926
1368	99.592
1369	99.9203
1370	100
1371	99.8342
1372	99.4857
1373	99.1429
1374	98.5131
1375	98.1043
1376	97.9715
1377	97.5541
1378	97.7042
1379	97.6756
1380	97.9434
1381	98.1528
1382	97.8246
1383	97.7534
1384	96.688
1385	94.4934
1386	90.5294
1387	85.1423
1388	78.5929
1389	69.3726
1390	59.1225
1391	50.0888
1392	41.3282
1393	34.5743
1394	27.9856
1395	21.8233
1396	17.2162
1397	13.1425
1398	10.156
1399	7.9965
1400	6.3426
1401	5.5059
1402	4.5882
1403	5.1716
1404	3.6463
1405	2.5884
1406	2.057
1407	1.7536
1408	1.6172
1409	1.6631
1410	1.3279
1411	0.9674
1412	1.0555
1413	0.95
1414	0.8095
1415	0.5764
1416	0.3996
1417	0.3168
1418	0.4053
1419	0.2826
1420	0.2085
1421	0.1733
1422	0.0145
1423	0.0143
1424	0.01
1425	0.0186
1426	0.0165
1427	0.0161
1428	0.0168
1429	0.0219
1430	0.0127
1431	0.0192
1432	0.0171
1433	0.0182
1434	0.013
1435	0.0186
1436	0.0175
1437	0.01
1438	0.0131
1439	0.0133
1440	0.015
1441	0.015
1442	0.0153
1443	0.014
1444	0.0165
1445	0.0192
1446	0.0138
1447	0.0157
1448	0.0171
1449	0.0195
1450	0.0147
